n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
3,1,0,1545.15514,1545.15514,1.00000,10,5016.25700,1545.15514,1.00000,4,6467.59700,1545.15514,1.00000,20,5489.62700
3,1,1,745.53265,745.53265,1.00000,10,5925.52100,745.53265,1.00000,4,6449.55500,745.53265,1.00000,20,6514.72400
3,1,2,1183.61671,1183.61671,1.00000,10,6496.39800,1183.61671,1.00000,4,5039.89700,1183.61671,1.00000,20,6540.33500
3,1,3,1360.52439,1360.52439,1.00000,10,4992.84300,1360.52439,1.00000,4,4924.45700,1360.52439,1.00000,20,4997.05800
3,1,4,1158.26318,1158.26318,1.00000,10,5007.03400,1158.26318,1.00000,4,6194.47100,1158.26318,1.00000,20,6449.25900
3,1,5,1939.64154,1939.64154,1.00000,10,6429.32500,1939.64154,1.00000,4,5280.47500,1939.64154,1.00000,20,5027.79900
3,1,6,2737.43736,2737.43736,1.00000,10,5978.20500,2737.43736,1.00000,4,4968.11900,2737.43736,1.00000,20,5997.48300
3,1,7,3387.00373,3387.00373,1.00000,10,4957.34100,3387.00373,1.00000,4,4991.51500,3387.00373,1.00000,20,4983.37400
3,1,8,3803.94570,3803.94570,1.00000,10,5058.06000,3803.94570,1.00000,4,4939.01300,3803.94570,1.00000,20,5809.30200
3,1,9,494.68034,494.68034,1.00000,10,6484.21800,494.68034,1.00000,4,4957.49100,494.68034,1.00000,20,6112.89700
3,2,0,1517.46845,1517.46845,1.00000,12,6146.66600,1545.15514,1.01825,8,5628.12800,1517.46845,1.00000,38,6212.79900
3,2,1,1103.35096,1103.35096,1.00000,12,6353.17200,1103.35096,1.00000,8,6462.88200,1103.35096,1.00000,38,5045.80300
3,2,2,1171.75755,1171.75755,1.00000,12,4974.88500,1171.75755,1.00000,8,4992.19500,1171.75755,1.00000,38,4968.39300
3,2,3,2184.42296,2184.42296,1.00000,12,5282.11400,1360.52439,0.62283,8,6292.82900,2184.42296,1.00000,38,6457.22100
3,2,4,2237.08411,2237.08411,1.00000,12,4909.15800,2237.08411,1.00000,8,5083.80300,2237.08411,1.00000,38,4969.59400
3,2,5,3259.36084,3259.36084,1.00000,12,4975.76700,3259.36084,1.00000,8,5068.09500,3259.36084,1.00000,38,4964.58400
3,2,6,3456.69381,3456.69381,1.00000,12,5204.79400,2737.43736,0.79192,8,4955.53900,3456.69381,1.00000,38,5073.60300
3,2,7,3814.42488,3814.42488,1.00000,12,4999.11300,3814.42488,1.00000,8,5094.48000,3814.42488,1.00000,38,4977.53000
3,2,8,5375.08484,5375.08484,1.00000,12,6461.24200,3803.94570,0.70770,8,6429.72900,5375.08484,1.00000,38,6302.61700
3,2,9,332.98200,332.98200,1.00000,12,5976.64400,332.98200,1.00000,8,6436.44400,332.98200,1.00000,38,6512.72700
