n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
6,1,0,3889.71449,3889.71449,1.00000,40,5026.76000,5189.00753,1.33403,25,5024.61500,3889.71449,1.00000,110,5010.27700
6,1,1,4342.05747,4342.05747,1.00000,40,5000.32500,4774.10924,1.09950,25,4967.17900,4342.05747,1.00000,110,5044.10800
6,1,2,2397.51877,2397.51877,1.00000,40,5011.60800,3249.59355,1.35540,25,5044.01000,2397.51877,1.00000,110,5016.56400
6,1,3,4552.76211,4552.76211,1.00000,40,5021.75600,5230.68704,1.14890,25,4969.48000,4552.76211,1.00000,110,4971.42700
6,1,4,2856.41710,2856.41710,1.00000,40,5770.68300,3669.24918,1.28456,25,5091.92600,2856.41710,1.00000,110,6446.75200
6,1,5,1491.43361,1491.43361,1.00000,40,6460.62800,1559.05700,1.04534,25,6470.55700,1491.43361,1.00000,110,5867.39400
6,1,6,3273.86399,3273.86399,1.00000,40,5350.50500,4012.72095,1.22568,25,4986.83900,3273.86399,1.00000,110,4986.41900
6,1,7,4329.40681,4329.40681,1.00000,40,5027.84800,4897.49629,1.13122,25,4978.08300,4329.40681,1.00000,110,6061.03200
6,1,8,3665.22955,3665.22955,1.00000,40,6489.68700,4324.83050,1.17996,25,4993.17500,3665.22955,1.00000,110,5967.56300
6,1,9,2401.85759,2401.85759,1.00000,40,5509.28800,3746.72041,1.55993,25,5872.52900,2401.85759,1.00000,110,5075.96200
6,2,0,4065.82424,4065.82424,1.00000,45,4962.33700,8583.70816,2.11119,50,5024.51800,4065.82424,1.00000,200,5065.61900
6,2,1,4763.95780,4763.95780,1.00000,45,4995.78100,4974.37253,1.04417,50,4969.46200,4763.95780,1.00000,200,5010.49600
6,2,2,2516.39639,2516.39639,1.00000,45,5845.23500,4109.96724,1.63327,50,6529.05900,2516.39639,1.00000,200,5092.62900
6,2,3,4985.45898,4985.45898,1.00000,45,6194.71500,7128.44638,1.42985,50,5663.18100,4985.45898,1.00000,200,5010.10200
6,2,4,2750.67927,2750.67927,1.00000,45,6491.16400,4616.36716,1.67826,50,6457.62600,2750.67927,1.00000,200,6469.02500
6,2,5,2138.62865,2138.62865,1.00000,45,6515.78400,3436.30327,1.60678,50,5493.66400,2138.62865,1.00000,200,4975.51000
6,2,6,4996.34771,4996.34771,1.00000,45,4957.47500,5838.38790,1.16853,50,5027.40100,4996.34771,1.00000,200,5049.95100
6,2,7,7049.43757,7049.43757,1.00000,45,5052.88300,7927.88885,1.12461,50,4958.56800,7049.43757,1.00000,200,5050.18700
6,2,8,4461.59177,4461.59177,1.00000,45,4966.32600,6772.01716,1.51785,50,6347.74700,4461.59177,1.00000,200,5722.62500
6,2,9,2344.54706,2344.54706,1.00000,45,5004.27400,5044.98236,2.15179,50,6492.65600,2611.97847,1.11407,200,5029.56600
6,3,0,6817.65603,6817.65603,1.00000,50,5017.05400,12135.58489,1.78002,75,4988.92900,6817.65603,1.00000,290,6482.67200
6,3,1,5343.66808,5343.66808,1.00000,50,5010.90800,6237.12728,1.16720,75,6103.33500,5343.66808,1.00000,290,6025.45900
6,3,2,3089.60627,3089.60627,1.00000,50,5985.64600,5757.35428,1.86346,75,5021.83900,3089.60627,1.00000,290,5071.49400
6,3,3,7246.67181,7246.67181,1.00000,50,5051.77400,12908.75179,1.78134,75,5289.07400,7246.67181,1.00000,290,5061.57600
6,3,4,2907.75657,2907.75657,1.00000,50,6481.78300,4308.93764,1.48188,75,5053.01400,2907.75657,1.00000,290,5037.85800
6,3,5,3689.97288,3689.97288,1.00000,50,4998.20700,4987.64749,1.35168,75,6466.20700,3689.97288,1.00000,290,5015.89700
6,3,6,6925.23204,6925.23204,1.00000,50,5020.21100,8425.88536,1.21669,75,5053.04900,6925.23204,1.00000,290,4982.60600
6,3,7,10647.91960,10647.91960,1.00000,50,5033.08600,13141.42719,1.23418,75,5625.43700,10647.91960,1.00000,290,5020.40200
6,3,8,6155.48136,6155.48136,1.00000,50,6462.20600,10938.03985,1.77696,75,5184.42800,6755.06843,1.09741,290,6229.97200
6,3,9,2670.34639,2670.34639,1.00000,50,5021.89700,5553.35035,2.07964,75,6503.54500,2670.34639,1.00000,290,4989.13200
6,4,0,10592.81824,10592.81824,1.00000,55,6162.35100,15791.61918,1.49079,100,6492.27900,10592.81824,1.00000,380,6529.19400
6,4,1,6659.02761,6659.02761,1.00000,55,6475.91800,9389.81873,1.41009,100,5836.99900,6659.02761,1.00000,380,6077.98500
6,4,2,4233.39500,4233.39500,1.00000,55,6048.75300,5292.26315,1.25012,100,4986.77700,4233.39500,1.00000,380,5009.43700
6,4,3,12358.02584,12358.02584,1.00000,55,5021.83000,15944.12734,1.29018,100,5085.82300,12358.02584,1.00000,380,5048.26800
6,4,4,4466.01494,4466.01494,1.00000,55,5017.47900,6661.58672,1.49162,100,4990.56000,4466.01494,1.00000,380,4987.95800
6,4,5,5690.94108,5690.94108,1.00000,55,5264.77000,7246.72733,1.27338,100,5024.91700,5690.94108,1.00000,380,5077.06300
