n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
6,4,6,10148.36908,10148.36908,1.00000,55,5033.95000,12408.69895,1.22273,100,5001.25600,10148.36908,1.00000,380,5035.69600
6,4,7,16079.55355,16079.55355,1.00000,55,5036.41500,17955.66678,1.11668,100,6531.96700,16079.55355,1.00000,380,6332.13800
6,4,8,10921.09113,10921.09113,1.00000,55,5098.66400,14096.49092,1.29076,100,5056.33200,10921.09113,1.00000,380,6470.65400
6,4,9,4568.49325,4568.49325,1.00000,55,6362.81400,6967.29075,1.52507,100,6423.06400,4568.49325,1.00000,380,6066.23300
6,5,0,15638.78827,15638.78827,1.00000,60,6483.94100,15638.78827,1.00000,125,5795.48500,15638.78827,1.00000,470,5613.30700
6,5,1,10705.17827,10705.17827,1.00000,60,5005.92900,10329.38334,0.96490,125,6509.36700,10705.17827,1.00000,470,5086.22200
6,5,2,5865.47303,5865.47303,1.00000,60,5044.69000,5746.59541,0.97973,125,5047.76300,5865.47303,1.00000,470,5030.58300
6,5,3,18205.34017,18205.34017,1.00000,60,5771.53500,18020.10581,0.98983,125,5013.19200,18205.34017,1.00000,470,4994.90000
6,5,4,6818.66403,6818.66403,1.00000,60,5564.34500,7705.86679,1.13011,125,4976.65100,6818.66403,1.00000,470,5094.77300
6,5,5,7701.64747,7701.64747,1.00000,60,5337.47100,7129.81281,0.92575,125,4963.04600,7701.64747,1.00000,470,5060.66800
6,5,6,14177.45198,14177.45198,1.00000,60,6531.12400,12063.99569,0.85093,125,6511.62400,14177.45198,1.00000,470,5793.74000
6,5,7,21737.21865,21737.21865,1.00000,60,6519.68100,21737.21865,1.00000,125,6496.68500,21737.21865,1.00000,470,6435.70300
6,5,8,15790.38050,15790.38050,1.00000,60,6280.58500,14950.35255,0.94680,125,6158.16900,15790.38050,1.00000,470,6360.30000
6,5,9,6909.98022,6909.98022,1.00000,60,6532.68100,6967.29075,1.00829,125,5049.66100,6909.98022,1.00000,470,5086.48500
