n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
5,1,0,1633.71674,1633.71674,1.00000,28,5017.94000,1633.71674,1.00000,16,6445.19800,1633.71674,1.00000,72,6448.04400
5,1,1,3002.91890,3002.91890,1.00000,28,5450.68600,3002.91890,1.00000,16,5023.26800,3002.91890,1.00000,72,6224.75500
5,1,2,4266.49495,4266.49495,1.00000,28,4981.90800,4266.49495,1.00000,16,4996.72900,4266.49495,1.00000,72,5948.58900
5,1,3,3098.32717,3098.32717,1.00000,28,4992.91200,4463.13133,1.44050,16,5215.31600,3098.32717,1.00000,72,4990.18900
5,1,4,1892.75973,1892.75973,1.00000,28,6465.83000,1892.75973,1.00000,16,4954.62400,1892.75973,1.00000,72,4997.10500
5,1,5,4400.46897,4400.46897,1.00000,28,5025.35400,5388.48305,1.22452,16,4949.63600,4400.46897,1.00000,72,5570.70700
5,1,6,4763.63046,4763.63046,1.00000,28,5797.30300,4796.54231,1.00691,16,6044.86700,4763.63046,1.00000,72,5638.80500
5,1,7,2556.85182,2556.85182,1.00000,28,5722.17800,2878.24824,1.12570,16,6391.34500,2556.85182,1.00000,72,4984.53100
5,1,8,4498.83730,4498.83730,1.00000,28,5897.93400,5530.47468,1.22931,16,4957.31800,4498.83730,1.00000,72,5007.40300
5,1,9,2604.06117,2604.06117,1.00000,28,6442.97700,2604.06117,1.00000,16,5015.47200,2604.06117,1.00000,72,6530.23900
5,2,0,1706.96670,1706.96670,1.00000,32,5005.44900,1724.15107,1.01007,32,5037.56200,1706.96670,1.00000,132,6530.62000
5,2,1,2747.71139,2747.71139,1.00000,32,5752.37000,3113.60128,1.13316,32,6240.60800,2747.71139,1.00000,132,5024.87700
5,2,2,4509.57939,4509.57939,1.00000,32,4968.56000,8029.36767,1.78051,32,5996.76000,4509.57939,1.00000,132,5872.20600
5,2,3,5540.54829,5540.54829,1.00000,32,5160.13000,6685.08537,1.20657,32,6327.80800,5540.54829,1.00000,132,4989.16200
