n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
9,1,0,2469.37768,2666.83995,1.07996,88,5008.27900,4397.83036,1.78095,64,4994.95300,2674.68797,1.08314,272,5049.59800
9,1,1,3207.80446,3965.94241,1.23634,88,5002.55400,6752.61756,2.10506,64,5037.93600,3897.16642,1.21490,272,5030.07100
9,1,2,3098.30384,4084.98091,1.31846,88,5004.62800,7947.45588,2.56510,64,4991.65400,4349.94131,1.40398,272,5059.51700
9,1,3,2650.11637,3012.27257,1.13666,88,5062.38800,6947.88270,2.62173,64,4990.03200,3951.48202,1.49106,272,5004.80000
9,2,0,2382.06276,2892.77054,1.21440,96,5009.45800,4500.57418,1.88936,128,5311.40600,2928.25000,1.22929,488,4966.59700
9,2,1,3228.65982,4284.38334,1.32699,96,5056.80800,4590.54594,1.42181,128,5021.03300,8155.29398,2.52591,488,4996.67500
9,2,2,4029.18911,4936.20615,1.22511,96,5326.99900,8057.45553,1.99977,128,4977.98100,11737.67462,2.91316,488,5002.10800
9,2,3,3364.41552,5178.51265,1.53920,96,5015.19700,5587.43329,1.66074,128,5017.09900,8551.71885,2.54181,488,5531.14800
9,3,0,2423.88549,3042.53246,1.25523,104,5067.27600,4458.86624,1.83955,192,4986.44900,,,704,5073.27200
9,3,1,4296.66379,5212.11587,1.21306,104,4996.30200,7080.86279,1.64799,192,4977.70800,10848.65062,2.52490,704,5156.88200
9,3,2,5530.78580,7878.46766,1.42448,104,5013.49000,11283.95741,2.04021,192,4966.79400,11457.82489,2.07165,704,5458.57200
9,3,3,4513.96188,6763.45026,1.49834,104,5718.87200,7470.53613,1.65498,192,4977.80700,14240.51144,3.15477,704,5057.55200
9,4,0,2750.50290,3170.75623,1.15279,112,5064.33000,5609.79689,2.03955,256,5051.62400,5074.71708,1.84501,920,5093.48400
9,4,1,5438.13768,5577.00158,1.02554,112,5055.08300,9488.18916,1.74475,256,5025.64100,8996.87690,1.65440,920,5069.25100
9,4,2,7634.56289,10711.32166,1.40300,112,5020.08800,18318.56239,2.39943,256,5050.67200,16473.29856,2.15773,920,5040.06600
9,4,3,6088.25173,6477.78471,1.06398,112,5044.12300,12995.77837,2.13457,256,5033.08000,9733.76829,1.59878,920,5039.78200
9,5,0,3232.87918,3333.94694,1.03126,120,5012.78700,6506.96559,2.01275,320,5005.49000,4857.22905,1.50245,1136,5024.79300
9,5,1,6645.00555,6645.00555,1.00000,120,5008.86900,10438.14440,1.57083,320,5008.88900,11266.71609,1.69552,1136,5068.71200
9,5,2,11675.65101,12498.86039,1.07051,120,5018.63600,21241.58112,1.81931,320,6472.14800,22324.73612,1.91208,1136,5040.26600
9,5,3,8530.61674,9853.37549,1.15506,120,4981.62900,13163.78797,1.54312,320,4990.73700,16542.15233,1.93915,1136,5110.84700
9,6,0,3783.97753,3783.97753,1.00000,128,5078.18100,6983.10051,1.84544,384,5005.17100,,,1352,5039.15000
9,6,1,8230.21163,8378.10018,1.01797,128,5006.22800,13076.34980,1.58882,384,5031.46800,11625.26498,1.41251,1352,5062.47600
9,6,2,16539.94850,16539.94850,1.00000,128,5004.86700,22335.82771,1.35042,384,4998.25400,22328.00484,1.34994,1352,5100.90900
9,6,3,12036.46916,12036.46916,1.00000,128,4981.39700,15676.92339,1.30245,384,4998.51600,14754.67140,1.22583,1352,5043.50600
9,7,0,5410.00904,5410.00904,1.00000,136,5074.61600,7298.36349,1.34905,448,5740.42200,7298.36349,1.34905,1568,5127.84600
9,7,1,10611.50440,10611.50440,1.00000,136,5018.47000,13660.85138,1.28736,448,5017.24700,12263.34961,1.15567,1568,6149.45500
9,7,2,22627.44005,22627.44005,1.00000,136,5026.41300,28177.69423,1.24529,448,5948.82600,25067.49138,1.10784,1568,5104.64400
9,7,3,15644.86066,15644.86066,1.00000,136,5050.76600,18254.60341,1.16681,448,5021.99600,17335.86468,1.10809,1568,5130.97800
9,8,0,7114.27312,7114.27312,1.00000,144,5026.63200,7298.36349,1.02588,512,5033.02300,7114.27312,1.00000,1784,5097.86600
9,8,1,13681.70674,13681.70674,1.00000,144,5494.29000,13599.95162,0.99402,512,5062.40200,13681.70674,1.00000,1784,6405.01200
9,8,2,29108.57950,29108.57950,1.00000,144,4981.36000,27243.87199,0.93594,512,6494.98800,29108.57950,1.00000,1784,5186.56200
9,8,3,19409.98442,19409.98442,1.00000,144,4991.73000,19285.31489,0.99358,512,5035.34000,19409.98442,1.00000,1784,5080.32800
