n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
4,1,0,3162.82392,3162.82392,1.00000,18,6457.22100,4457.10137,1.40922,9,5900.04000,3162.82392,1.00000,42,5457.35200
4,1,1,3377.03863,3377.03863,1.00000,18,5008.02700,3377.03863,1.00000,9,6347.60400,3377.03863,1.00000,42,5020.10300
4,1,2,2909.96519,2909.96519,1.00000,18,6098.88700,2909.96519,1.00000,9,5151.96100,2909.96519,1.00000,42,5036.59600
4,1,3,1083.44331,1083.44331,1.00000,18,5796.01800,1083.44331,1.00000,9,5317.99200,1083.44331,1.00000,42,5020.79600
4,1,4,4276.31713,4276.31713,1.00000,18,4979.84300,4276.31713,1.00000,9,6536.32600,4276.31713,1.00000,42,5684.89800
4,1,5,2797.50156,2797.50156,1.00000,18,5943.84000,2797.50156,1.00000,9,4218.00700,2797.50156,1.00000,42,5071.93500
4,1,6,2171.68604,2171.68604,1.00000,18,5014.97600,2171.68604,1.00000,9,4989.07800,2171.68604,1.00000,42,5877.48600
4,1,7,2634.29596,2634.29596,1.00000,18,4986.12200,2634.29596,1.00000,9,6335.10800,2634.29596,1.00000,42,5019.23500
4,1,8,2622.31883,2622.31883,1.00000,18,5035.07700,2622.31883,1.00000,9,4815.69300,2622.31883,1.00000,42,6508.55100
4,1,9,3237.64471,3237.64471,1.00000,18,6380.98200,3237.64471,1.00000,9,5095.47800,3237.64471,1.00000,42,4972.12100
4,2,0,3607.72231,3607.72231,1.00000,21,4966.26100,3825.67742,1.06041,18,4989.64400,3607.72231,1.00000,78,6518.74300
4,2,1,3957.83470,3957.83470,1.00000,21,5046.96300,4166.58499,1.05274,18,6461.40800,3957.83470,1.00000,78,6521.91600
4,2,2,4728.85993,4728.85993,1.00000,21,5002.23200,6238.47556,1.31923,18,5003.18700,4728.85993,1.00000,78,5761.76000
4,2,3,1732.10391,1732.10391,1.00000,21,5003.36300,2543.87694,1.46866,18,6470.77600,1732.10391,1.00000,78,6374.45400
4,2,4,4697.81460,4697.81460,1.00000,21,5862.05400,6692.28499,1.42455,18,4994.64500,4697.81460,1.00000,78,6502.96700
4,2,5,3778.84274,3778.84274,1.00000,21,4975.18700,3778.84274,1.00000,18,4951.91800,3778.84274,1.00000,78,5037.88900
4,2,6,3631.65516,3631.65516,1.00000,21,6459.24200,4747.72478,1.30732,18,5012.73300,3631.65516,1.00000,78,4980.74400
4,2,7,4603.60439,4603.60439,1.00000,21,4992.99100,5622.91793,1.22142,18,5974.67000,4603.60439,1.00000,78,6442.63000
4,2,8,3113.63903,3113.63903,1.00000,21,4962.41700,3817.05741,1.22592,18,6449.99900,3113.63903,1.00000,78,6522.21900
4,2,9,2647.46358,2647.46358,1.00000,21,5054.77300,2647.46358,1.00000,18,4972.83200,2647.46358,1.00000,78,6515.23700
4,3,0,4270.57581,4270.57581,1.00000,24,5097.95600,3607.72231,0.84479,27,5006.74300,4270.57581,1.00000,114,5043.13900
4,3,1,4627.25855,4627.25855,1.00000,24,5631.81100,4627.25855,1.00000,27,6504.83700,4627.25855,1.00000,114,6152.35700
4,3,2,6800.42853,6800.42853,1.00000,24,4980.23900,6238.47556,0.91737,27,5047.86000,6800.42853,1.00000,114,6528.69700
4,3,3,3074.82332,3074.82332,1.00000,24,5022.61900,2543.87694,0.82732,27,6142.26500,3074.82332,1.00000,114,5022.58700
4,3,4,6157.02363,6157.02363,1.00000,24,5950.16300,5735.52617,0.93154,27,5011.74000,6157.02363,1.00000,114,5001.85800
4,3,5,5177.30893,5177.30893,1.00000,24,5003.81100,5177.30893,1.00000,27,6450.77200,5177.30893,1.00000,114,5966.00200
4,3,6,6207.69390,6207.69390,1.00000,24,5039.17600,4747.72478,0.76481,27,5032.54000,6207.69390,1.00000,114,6520.45700
4,3,7,7592.22637,7592.22637,1.00000,24,6529.28600,5798.38225,0.76373,27,5054.46600,7592.22637,1.00000,114,6524.39000
4,3,8,4308.37761,4308.37761,1.00000,24,5058.36200,4308.37761,1.00000,27,5023.78800,4308.37761,1.00000,114,6392.37300
4,3,9,4894.21491,4894.21491,1.00000,24,4983.08900,4894.21491,1.00000,27,5354.26000,4894.21491,1.00000,114,5052.42900
