n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
8,1,0,2897.29208,2897.29208,1.00000,70,5038.41300,7045.16686,2.43164,49,5557.03300,3016.75737,1.04123,210,5011.41900
8,1,1,3534.24837,3943.67509,1.11585,70,5068.64700,8106.67395,2.29375,49,4953.82300,3534.24837,1.00000,210,4987.67900
8,1,2,3642.67130,3716.66022,1.02031,70,5021.43000,6719.06056,1.84454,49,4977.85700,3716.66022,1.02031,210,5069.32100
8,1,3,2135.43253,2179.20816,1.02050,70,5021.21600,4580.38455,2.14494,49,5049.28300,2135.43253,1.00000,210,5059.42500
8,2,0,3625.14072,4191.51618,1.15624,77,5040.73600,5323.81733,1.46858,98,5023.23300,4484.03533,1.23693,378,5003.25000
8,2,1,3650.39784,5335.83315,1.46171,77,5012.94800,9515.29410,2.60665,98,4965.91800,8172.37967,2.23876,378,5061.94400
8,2,2,3800.52286,4160.99957,1.09485,77,5064.71800,6274.18904,1.65088,98,5018.84300,5942.52764,1.56361,378,5011.89800
8,2,3,2187.14243,2857.51318,1.30651,77,4995.26000,5638.09901,2.57784,98,4976.18900,3888.86106,1.77806,378,5077.36700
8,3,0,5018.00038,5180.01175,1.03229,84,5013.19800,7717.28861,1.53792,147,5031.96900,8706.22578,1.73500,546,5021.45100
8,3,1,4120.55326,5455.68173,1.32402,84,4976.96400,8060.12237,1.95608,147,4974.43800,9387.28487,2.27816,546,5066.50500
8,3,2,4166.52041,4233.51377,1.01608,84,5005.91700,5789.07186,1.38943,147,4990.43200,5860.76319,1.40663,546,5065.04100
8,3,3,3896.79532,4182.14059,1.07323,84,4999.44600,7334.30965,1.88214,147,4983.80800,8578.79909,2.20150,546,5054.76900
8,4,0,6551.02754,6551.02754,1.00000,91,4979.66900,8201.65597,1.25196,196,5056.18000,7203.23162,1.09956,714,5010.17100
8,4,1,7324.70617,7547.53630,1.03042,91,5065.33200,10437.40001,1.42496,196,5058.79800,13229.35742,1.80613,714,5016.24000
8,4,2,4610.85976,4610.85976,1.00000,91,5046.05100,5772.42778,1.25192,196,5015.68900,7021.01874,1.52271,714,6107.75600
8,4,3,5714.10520,5714.10520,1.00000,91,5007.18100,8820.31514,1.54360,196,4985.95200,10541.91557,1.84489,714,5067.23100
8,5,0,8225.08082,8225.08082,1.00000,98,5012.55400,8916.72340,1.08409,245,5041.42300,8736.25877,1.06215,882,5057.28800
8,5,1,10751.68922,10751.68922,1.00000,98,5022.81300,15201.24311,1.41385,245,4974.77600,15133.51334,1.40755,882,5080.69900
8,5,2,5103.16389,5103.16389,1.00000,98,4990.18500,7649.19195,1.49891,245,5028.63900,5839.76676,1.14434,882,5013.93000
8,5,3,8840.05109,8840.05109,1.00000,98,5075.12900,12135.90677,1.37283,245,5008.43300,10286.15071,1.16358,882,5021.90700
8,6,0,10001.79529,10001.79529,1.00000,105,5060.51900,12303.88304,1.23017,294,4995.60400,10001.79529,1.00000,1050,5069.08600
8,6,1,14751.98704,14751.98704,1.00000,105,5028.68400,18840.46200,1.27715,294,4960.35100,14751.98704,1.00000,1050,5106.42500
8,6,2,6272.75766,6272.75766,1.00000,105,5837.90700,7530.68685,1.20054,294,5053.00300,7196.23429,1.14722,1050,5098.61500
8,6,3,11996.47657,11996.47657,1.00000,105,5100.22000,15295.58910,1.27501,294,5036.87500,11996.47657,1.00000,1050,5119.58100
8,7,0,13569.41956,13569.41956,1.00000,112,5021.64100,12734.31759,0.93846,343,5052.39600,13569.41956,1.00000,1218,5072.74500
8,7,1,19030.65180,19030.65180,1.00000,112,5021.49600,18628.22615,0.97885,343,5042.70100,19030.65180,1.00000,1218,5107.06100
8,7,2,7688.53841,7688.53841,1.00000,112,5020.31400,7855.07323,1.02166,343,5014.02900,7688.53841,1.00000,1218,5113.36900
8,7,3,15263.20295,15263.20295,1.00000,112,5067.66600,13430.90921,0.87995,343,5053.89600,15263.20295,1.00000,1218,5059.93300
