n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
10,1,0,2901.18094,6639.97545,2.28871,108,5037.81800,12934.08071,4.45821,81,6262.03700,6064.12892,2.09023,342,4994.85000
10,1,1,2584.15924,4032.47080,1.56046,108,5027.58300,5627.20621,2.17758,81,6487.86800,3783.73679,1.46420,342,5093.57900
10,1,2,1668.88372,2561.56219,1.53490,108,5813.29100,4450.53889,2.66678,81,5004.82900,2054.42470,1.23102,342,5753.43500
10,1,3,2262.11078,3173.97860,1.40310,108,5037.63100,5161.80010,2.28185,81,4994.83600,3651.98400,1.61441,342,5026.79600
10,2,0,3296.40189,6088.74739,1.84709,117,4987.59600,6412.84966,1.94541,162,4997.79500,11241.16704,3.41013,612,4971.79500
10,2,1,2484.15370,4395.69482,1.76949,117,5054.94500,6217.89767,2.50302,162,5054.13400,8858.26540,3.56591,612,5008.20300
10,2,2,1773.48785,2715.81390,1.53134,117,5032.78600,4059.28788,2.28887,162,5041.32100,5602.97987,3.15930,612,5063.53000
10,2,3,2891.26355,3817.11020,1.32022,117,5043.02400,4348.29423,1.50394,162,5012.09900,6843.05190,2.36680,612,5056.07700
10,3,0,3768.31503,5862.76157,1.55580,126,5051.10800,6565.30661,1.74224,243,4970.36700,,,882,5006.39800
10,3,1,2718.42798,5106.23488,1.87838,126,5051.72400,5761.14346,2.11929,243,4999.63900,,,882,5093.03000
10,3,2,2062.32771,3042.86933,1.47545,126,5058.88100,3431.13211,1.66372,243,5350.06400,6016.06541,2.91712,882,4996.21400
10,3,3,3577.45198,4736.80008,1.32407,126,5034.07100,4759.13627,1.33031,243,5056.37000,,,882,5013.63600
10,4,0,4588.50218,6574.23432,1.43276,135,5014.81400,10214.78043,2.22617,324,4966.40600,15117.73284,3.29470,1152,5074.09000
10,4,1,3587.72342,5808.45506,1.61898,135,5047.21600,8804.26433,2.45400,324,5052.84900,,,1152,5080.47300
10,4,2,2534.35101,3686.01928,1.45442,135,5090.40300,4378.83581,1.72779,324,5033.72200,,,1152,5042.81800
10,4,3,4289.88870,5445.71947,1.26943,135,5035.57700,7263.18135,1.69309,324,5005.75000,,,1152,5334.32300
10,5,0,5409.62598,7321.99988,1.35351,144,5064.54900,9959.81578,1.84113,405,5031.20400,,,1422,5054.91100
10,5,1,5042.84646,5641.00315,1.11861,144,5057.05800,11625.16470,2.30528,405,4990.96600,,,1422,5136.08200
10,5,2,3276.60083,4244.15378,1.29529,144,5084.51500,6177.95904,1.88548,405,4998.87900,6901.18349,2.10620,1422,5044.53800
10,5,3,5527.50794,6591.41920,1.19248,144,5430.45100,8320.28139,1.50525,405,5033.12300,10038.51811,1.81610,1422,5097.26900
10,6,0,7128.83099,7558.66769,1.06030,153,5023.82900,13511.85332,1.89538,486,4974.47400,10427.63544,1.46274,1692,5094.58200
10,6,1,6846.37082,6937.51391,1.01331,153,5058.68200,12098.32562,1.76712,486,5053.58000,,,1692,5084.60700
10,6,2,4036.66123,4713.54320,1.16768,153,5076.09700,7370.93272,1.82600,486,5499.14000,6047.42478,1.49813,1692,5073.90500
10,6,3,7066.22801,7066.22801,1.00000,153,5024.70700,10887.92112,1.54084,486,5025.62900,8588.43209,1.21542,1692,5062.83100
10,7,0,10367.00948,10762.56642,1.03816,162,6460.06500,16709.89206,1.61183,567,5031.96300,16139.37878,1.55680,1962,6482.70600
10,7,1,9758.41428,9873.51945,1.01180,162,5009.24800,15415.15989,1.57968,567,5063.75400,9928.80715,1.01746,1962,5076.73500
10,7,2,5275.24345,5836.16736,1.10633,162,4981.61800,7499.92724,1.42172,567,4998.62200,6387.96920,1.21093,1962,5118.27100
10,7,3,8743.65882,8743.65882,1.00000,162,5033.13400,12451.04149,1.42401,567,4976.11600,,,1962,5137.98100
10,8,0,13833.08684,13833.08684,1.00000,171,6466.55800,17105.11301,1.23654,648,6444.29800,16095.04666,1.16352,2232,5148.35600
10,8,1,12840.85060,12840.85060,1.00000,171,5032.66800,16468.02702,1.28247,648,6463.16700,13257.18304,1.03242,2232,5224.05100
10,8,2,6859.99250,6859.99250,1.00000,171,5054.62600,8177.30733,1.19203,648,4989.32300,8888.86706,1.29575,2232,5324.01100
10,8,3,11247.70390,11247.70390,1.00000,171,5021.45900,13071.88042,1.16218,648,5003.57700,11247.70390,1.00000,2232,5213.42800
10,9,0,17577.02614,17577.02614,1.00000,180,5042.76000,17854.26239,1.01577,729,6268.65600,,,2502,6302.07500
10,9,1,16169.22650,16169.22650,1.00000,180,6523.81500,17083.61244,1.05655,729,5013.32100,,,2502,5108.84100
10,9,2,8660.02551,8660.02551,1.00000,180,6499.33400,8585.20584,0.99136,729,6516.63900,8660.02551,1.00000,2502,5182.96200
10,9,3,13854.76988,13854.76988,1.00000,180,5009.18800,13225.61711,0.95459,729,5022.99100,13854.76988,1.00000,2502,5174.62100
