n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
11,1,0,2943.81753,4670.62018,1.58659,130,5004.90700,4288.18307,1.45667,100,4990.42400,4001.59790,1.35932,420,5069.30800
11,2,0,3283.09886,6240.01688,1.90065,140,5009.17000,8901.44206,2.71129,200,5048.47600,,,750,5064.61200
11,3,0,4779.60190,6213.64098,1.30003,150,5032.77300,10237.89824,2.14200,300,5036.72900,,,1080,5132.08200
11,4,0,6311.15744,8690.57906,1.37702,160,5050.54400,13448.04364,2.13084,400,4973.34600,,,1410,5069.36400
11,5,0,8084.32529,11142.18911,1.37825,170,5049.20400,14756.69878,1.82535,500,4974.48000,,,1740,5040.16400
11,6,0,10466.45043,12874.19748,1.23004,180,5028.21600,18627.85450,1.77977,600,5045.62100,17437.05409,1.66600,2070,5066.41900
11,7,0,13197.95315,15494.03324,1.17397,190,5017.82300,23457.10333,1.77733,700,5054.98800,,,2400,5071.28700
11,8,0,17169.06497,17904.42559,1.04283,200,5066.91900,24202.59226,1.40966,800,5004.23700,22294.53797,1.29853,2730,5193.71700
