n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
2,1,0,2737.78179,2737.78179,1.00000,3,30763.34600,2737.78179,1.00000,1,30657.86200,2737.78179,1.00000,6,31094.32200
2,1,1,2206.90343,2206.90343,1.00000,3,30666.32600,2206.90343,1.00000,1,30001.00400,2206.90343,1.00000,6,30480.90500
2,1,2,9.15246,9.15246,1.00000,3,30588.14600,9.15246,1.00000,1,29295.23700,9.15246,1.00000,6,30246.51700
2,1,3,2323.82311,2323.82311,1.00000,3,5258.32800,2323.82311,1.00000,1,5459.28100,2323.82311,1.00000,6,6330.26000
2,1,4,2066.08560,2066.08560,1.00000,3,5561.41300,2066.08560,1.00000,1,5884.24000,2066.08560,1.00000,6,5979.67500
2,1,5,941.60566,941.60566,1.00000,3,5287.74600,941.60566,1.00000,1,3596.67000,941.60566,1.00000,6,5375.41500
2,1,6,1452.95040,1452.95040,1.00000,3,4823.19500,1452.95040,1.00000,1,4604.78500,1452.95040,1.00000,6,6218.08900
2,1,7,130.25528,130.25528,1.00000,3,3618.04300,130.25528,1.00000,1,5001.16200,130.25528,1.00000,6,5001.24100
2,1,8,6406.46852,6406.46852,1.00000,3,4953.35000,6406.46852,1.00000,1,6505.59600,6406.46852,1.00000,6,6340.45100
2,1,9,1460.20530,1460.20530,1.00000,3,6143.57400,1460.20530,1.00000,1,4600.01900,1460.20530,1.00000,6,5537.04500
